source_center,destination_center,time_bucket,evaluated_legs,median_carting_eta_min,median_ftl_eta_min,median_ftl_time_saving_min,median_break_even_ftl_premium,median_ftl_net_value,recommended_route_type,evidence_level
IND212601AAA,IND210001AAA,night,4,160.38541686615207,165.63958878013915,-4.2318877032983835,0.0,-500.0,Carting,low: one mode observed
IND221706AAA,IND273014AAB,morning,3,437.18977464282256,458.57841575225075,-17.321462560400732,0.0,-500.0,Carting,low: one mode observed
IND224001AAA,IND224141AAB,morning,3,96.80077215245726,98.83639449491919,-2.0356223424619344,0.0,-500.0,Carting,low: one mode observed
IND224141AAB,IND224122AAA,afternoon,2,98.62683950972377,105.55707260477371,-6.930233095049935,0.0,-500.0,Carting,low: one mode observed
IND224141AAB,IND224122AAA,morning,2,92.18238579552389,96.85553276076648,-4.673146965242601,0.0,-500.0,Carting,low: one mode observed
IND641062AAD,IND638401AAA,evening,3,248.6601501315856,251.03265402974782,-2.372503898162222,0.0,-500.0,Carting,low: one mode observed
IND242307AAB,IND207247AAB,morning,2,295.02742634975925,311.52579453070143,-16.49836818094215,0.0,-500.0,Carting,low: one mode observed
IND242307AAB,IND207247AAB,night,2,294.2067088358392,318.92188026479914,-24.71517142895999,0.0,-500.0,Carting,low: one mode observed
IND243001AAA,IND243503AAB,night,4,118.1084320342433,122.83504948574415,-4.564440512818315,0.0,-500.0,Carting,low: one mode observed
IND641062AAD,IND642126AAA,evening,5,269.6051645036315,283.0382427649513,-14.974075954451052,0.0,-500.0,Carting,low: one mode observed
IND243301AAB,IND244901AAB,night,3,435.3767574882312,445.4248836675304,-10.048126179299231,0.0,-500.0,Carting,low: one mode observed
IND243503AAB,IND244901AAB,night,4,562.5826382068888,579.5026091373637,-15.417173014791558,0.0,-500.0,Carting,low: one mode observed
