source_center,destination_center,route_type,time_bucket,observation_count,median_osrm_time_min,median_actual_movement_min,median_actual_elapsed_min,median_movement_delay_ratio,median_excess_min,breach_rate,chronic_delay
IND000000AEM,IND110037AAB,Carting,night,4,40.0,207.5,329.0,5.1875,167.5,1.0,False
IND000000AEM,IND110064AAB,Carting,morning,1,55.0,89.0,180.0,1.6181818181818182,34.0,1.0,False
IND000000AEM,IND110064AAB,Carting,night,10,55.0,115.0,250.0,2.0998677248677247,60.5,1.0,True
IND000000AET,IND000000AAS,FTL,afternoon,8,48.5,119.0,154.0,2.4646938775510203,71.5,1.0,True
IND000000AFF,IND734203AAA,FTL,afternoon,3,19.0,92.0,100.0,4.842105263157895,73.0,1.0,False
IND000000AFG,IND673027AAB,FTL,night,1,46.0,84.0,107.0,1.826086956521739,38.0,1.0,False
IND000000AFJ,IND695121AAA,Carting,evening,2,27.0,27.0,78.0,1.0,1.0,0.0,False
IND000000AFJ,IND695121AAA,Carting,night,11,26.0,28.0,64.0,1.0769230769230769,2.0,0.09090909090909091,False
IND000000AFJ,IND695572AAB,Carting,evening,1,27.0,60.0,103.0,2.2222222222222223,33.0,1.0,False
IND000000AFR,IND683511AAA,Carting,night,6,32.0,70.5,84.0,2.171875,38.0,1.0,True
IND000000AFT,IND400072AAB,Carting,evening,6,19.0,36.0,99.0,1.9236842105263157,17.0,1.0,True
IND000000AFT,IND400701AAA,Carting,night,1,19.0,56.0,514.0,2.9473684210526314,37.0,1.0,False
IND000000AFT,IND400706AAA,Carting,night,1,18.0,94.0,96.0,5.222222222222222,76.0,1.0,False
IND000000AFT,IND410206AAA,Carting,morning,1,15.0,46.0,109.0,3.066666666666667,31.0,1.0,False
IND000000AFT,IND410206AAB,Carting,morning,1,17.0,53.0,68.0,3.1176470588235294,36.0,1.0,False
IND000000AFT,IND410209AAA,Carting,evening,1,15.0,71.0,75.0,4.733333333333333,56.0,1.0,False
IND000000AFT,IND410209AAA,Carting,morning,9,14.0,31.0,51.0,2.25,16.0,1.0,True
IND000000AFT,IND410209AAA,Carting,night,12,15.0,32.5,56.0,2.2404761904761905,18.0,1.0,True
IND000000AFT,IND410210AAA,Carting,evening,5,14.0,52.0,97.0,3.8461538461538463,38.0,1.0,True
IND000000AFT,IND410210AAA,Carting,night,4,18.5,37.5,53.0,2.0204678362573096,19.0,1.0,False
IND000000AFT,IND421302AAG,Carting,evening,6,21.5,47.5,119.5,2.20995670995671,26.0,1.0,True
IND000000AFT,IND421302AAG,Carting,morning,1,20.0,61.0,149.0,3.05,41.0,1.0,False
IND000000AFT,IND421302AAG,Carting,night,2,20.0,58.0,266.5,2.823232323232323,38.0,1.0,False
IND110014AAA,IND110024AAA,Carting,morning,5,8.0,24.0,57.0,3.4285714285714284,17.0,1.0,True
IND110014AAA,IND110024AAA,Carting,night,4,11.0,35.0,145.0,3.3636363636363638,24.0,1.0,False
IND110020AAB,IND110037AAM,Carting,morning,4,23.5,88.0,565.0,3.937747035573123,65.5,1.0,False
IND110024AAA,IND110014AAA,Carting,evening,1,7.0,14.0,44.0,2.0,7.0,1.0,False
IND110024AAA,IND110014AAA,Carting,morning,3,7.0,22.0,53.0,3.142857142857143,15.0,1.0,False
IND110024AAA,IND110014AAA,Carting,night,5,8.0,12.0,42.0,1.7142857142857142,5.0,1.0,True
IND110030AAD,IND000000ACB,Carting,evening,3,48.0,78.0,206.0,1.6595744680851063,31.0,1.0,False
IND110030AAD,IND000000ACB,Carting,morning,2,48.0,279.5,303.0,5.766608771168041,231.5,1.0,False
IND110030AAD,IND000000ACB,Carting,night,2,46.0,217.5,247.5,4.7643026004728135,171.5,1.0,False
IND110035AAC,IND110037AAM,Carting,evening,1,20.0,27.0,196.0,1.35,7.0,1.0,False
